
2026/06/26 (17:57:00) | ===> btop++ v.1.3.2
2026/06/26 (17:57:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/26 (18:07:29) | ===> btop++ v.1.3.2
2026/06/26 (18:07:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/26 (19:06:28) | ===> btop++ v.1.3.2
2026/06/26 (19:06:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/26 (22:00:32) | ===> btop++ v.1.3.2
2026/06/26 (22:00:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/26 (22:21:46) | ===> btop++ v.1.3.2
2026/06/26 (22:21:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/26 (22:51:37) | ===> btop++ v.1.3.2
2026/06/26 (22:51:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/26 (22:54:29) | ===> btop++ v.1.3.2
2026/06/26 (22:54:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/26 (23:02:30) | ===> btop++ v.1.3.2
2026/06/26 (23:02:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/26 (23:30:17) | ===> btop++ v.1.3.2
2026/06/26 (23:30:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/27 (18:30:02) | ===> btop++ v.1.3.2
2026/06/27 (18:30:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/27 (18:32:27) | ===> btop++ v.1.3.2
2026/06/27 (18:32:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/27 (18:43:07) | ===> btop++ v.1.3.2
2026/06/27 (18:43:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/27 (21:27:44) | ===> btop++ v.1.3.2
2026/06/27 (21:27:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/27 (21:43:53) | ===> btop++ v.1.3.2
2026/06/27 (21:43:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/27 (22:28:57) | ===> btop++ v.1.3.2
2026/06/27 (22:28:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/27 (22:30:05) | ===> btop++ v.1.3.2
2026/06/27 (22:30:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/27 (22:32:18) | ===> btop++ v.1.3.2
2026/06/27 (22:32:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/28 (11:33:16) | ===> btop++ v.1.3.2
2026/06/28 (11:33:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/28 (19:22:17) | ===> btop++ v.1.3.2
2026/06/28 (19:22:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/29 (16:18:16) | ===> btop++ v.1.3.2
2026/06/29 (16:18:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/29 (17:12:30) | ===> btop++ v.1.3.2
2026/06/29 (17:12:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/06/29 (17:15:17) | ===> btop++ v.1.3.2
2026/06/29 (17:15:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
